"","price","area","bedrooms","bathrooms","stories","mainroad","guestroom","basement","hotwaterheating","airconditioning","parking","prefarea","furnishingstatus","price_k","price_level"
"1",13300000,7420,4,2,3,"yes","no","no","no","yes",2,"yes","furnished",13300,4
"2",12250000,8960,4,4,4,"yes","no","no","no","yes",3,"no","furnished",12250,4
"3",12250000,9960,3,2,2,"yes","no","yes","no","no",2,"yes","semi-furnished",12250,4
"4",12215000,7500,4,2,2,"yes","no","yes","no","yes",3,"yes","furnished",12215,4
"5",11410000,7420,4,1,2,"yes","yes","yes","no","yes",2,"no","furnished",11410,4
"6",10850000,7500,3,3,1,"yes","no","yes","no","yes",2,"yes","semi-furnished",10850,4
"7",10150000,8580,4,3,4,"yes","no","no","no","yes",2,"yes","semi-furnished",10150,4
"8",10150000,16200,5,3,2,"yes","no","no","no","no",0,"no","unfurnished",10150,4
"9",9870000,8100,4,1,2,"yes","yes","yes","no","yes",2,"yes","furnished",9870,4
"10",9800000,5750,3,2,4,"yes","yes","no","no","yes",1,"yes","unfurnished",9800,4
"11",9800000,13200,3,1,2,"yes","no","yes","no","yes",2,"yes","furnished",9800,4
"12",9681000,6000,4,3,2,"yes","yes","yes","yes","no",2,"no","semi-furnished",9681,4
"13",9310000,6550,4,2,2,"yes","no","no","no","yes",1,"yes","semi-furnished",9310,4
"14",9240000,3500,4,2,2,"yes","no","no","yes","no",2,"no","furnished",9240,4
"15",9240000,7800,3,2,2,"yes","no","no","no","no",0,"yes","semi-furnished",9240,4
"16",9100000,6000,4,1,2,"yes","no","yes","no","no",2,"no","semi-furnished",9100,4
"17",9100000,6600,4,2,2,"yes","yes","yes","no","yes",1,"yes","unfurnished",9100,4
"18",8960000,8500,3,2,4,"yes","no","no","no","yes",2,"no","furnished",8960,4
"19",8890000,4600,3,2,2,"yes","yes","no","no","yes",2,"no","furnished",8890,4
"20",8855000,6420,3,2,2,"yes","no","no","no","yes",1,"yes","semi-furnished",8855,4
"21",8750000,4320,3,1,2,"yes","no","yes","yes","no",2,"no","semi-furnished",8750,4
